"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC6A12",1.72673791666667,9.854145375,6.56904557518583,5.4684820100936e-05,0.0112876063842515,2.30726415841708
"PIGX",0.887379916666668,9.58204395833333,6.56337031579816,5.50870678911653e-05,0.0113137820034875,2.30026429966775
"LTBP3",1.39404391666667,9.546587875,6.55083118681449,5.59871485994192e-05,0.0114414334122873,2.28478146597954
"ZNRF2",-0.706882666666666,8.65273516666666,-6.53743137318747,5.69665401532461e-05,0.0115820005221227,2.26820986559601
"HIST2H2BC",1.02178633333333,8.99537591666667,6.53246568717625,5.73341521071276e-05,0.0115820005221227,2.26206194769882
"SLC22A16",1.42674695,8.713088275,6.52778213471526,5.76832185089276e-05,0.0115820005221227,2.25625994429985
"DISP1",-1.65245398333333,8.23991400833333,-6.52509722011737,5.78843569604318e-05,0.0115820005221227,2.25293237709115
"CYP2U1",-2.74078456666666,6.92365698333333,-6.51312871340774,5.87901974676307e-05,0.0115820005221227,2.23808596075134
"APOL3",-1.22692641666666,10.328157125,-6.51128988931454,5.89307164554398e-05,0.0115820005221227,2.23580307184432
"PITX1",4.51775101666667,4.95729709166667,6.49849720157149,5.99183684808432e-05,0.0116384459574823,2.21990695852918
"BRWD3",-1.74031873333333,3.36820291666667,-6.49548754353512,6.01533066441365e-05,0.0116384459574823,2.21616359963313
"HIST1H2BE",1.25843683333333,8.75402241666667,6.48926053173856,6.06425496048389e-05,0.0116384459574823,2.208414225236
"EGLN3",4.8893182,5.33955733333333,6.48750964050393,6.07808834542564e-05,0.0116384459574823,2.20623422944316
"HTR7",-1.68283806666666,8.78435046666667,-6.48712219255059,6.08115406825438e-05,0.0116384459574823,2.20575176421812
"MYOM2",0.72460295,8.26033369166667,6.48513277832554,6.09692174949548e-05,0.0116384459574823,2.20327411234642
"FPR1",-2.94103083333333,10.27084225,-6.47987262809938,6.1388249503715e-05,0.0116384459574823,2.19672015534833
"RBBP9",-0.708569316666665,6.74807184166667,-6.47163947320572,6.20503500230361e-05,0.0116384459574823,2.18645357056135
"C17orf49",-0.658762416666665,11.548652375,-6.46033176418034,6.29722567002661e-05,0.0116384459574823,2.17233641358688
"PTGS2",-2.874541,7.05973773333333,-6.45937488925774,6.30509434151617e-05,0.0116384459574823,2.17114091355484
"IFT88",-1.76385,6.18777845,-6.4590102872177,6.3080953572496e-05,0.0116384459574823,2.17068535082688
"MPZL3",1.64033061666667,9.31650085833333,6.44717836830973,6.40632216487686e-05,0.0116384459574823,2.15589071557452
"NINJ1",-1.59022283333333,14.08120425,-6.44439389893258,6.4296768234721e-05,0.0116384459574823,2.1524059396973
"TGFBI",-2.23264741666667,15.8354072916667,-6.43945785128815,6.47130321552629e-05,0.0116384459574823,2.14622557359688
"ITSN1",-2.07940026666666,7.8805081,-6.43724093402419,6.4900930660045e-05,0.0116384459574823,2.1434485991547
